index,captum,captum_correction,gradcam,gradcam++
1,0.1146,0.1262,0.07619,0.07619
2,0.1127,0.1127,0.2345,0.1364
3,0.07792,0.06952,0.06127,0.0765
4,0.02053,0.02053,0.01055,0.01692
5,0.07109,0.07109,0.1676,0.163
7,0.01432,0.01432,0.03567,0.03134
8,0.03933,0.04817,0.06046,0.06046
9,0.01444,0.01444,0.01388,0.01034
10,0.08417,0.1061,0.08688,0.1203
11,0.04319,0.05561,0.07213,0.06189
13,0.1461,0.1315,0.2826,0.3521
14,0.2426,0.2426,0.125,0.147
15,0.01047,0.009789,0.01336,0.009902
16,0.02634,0.02371,0.01849,0.01849
18,0.3201,0.3095,0.2174,0.1991
19,0.04837,0.05883,0.1689,0.1689
21,0.2206,0.2206,0.2376,0.2504
22,0.02333,0.02333,0.1147,0.04572
23,0.02341,0.02341,0.02999,0.01266
25,0.008851,0.008851,0.00309,0.003452
28,0.3025,0.3025,0.07189,0.07189
29,0.06322,0.06322,0.142,0.142
30,0.04332,0.04107,0.02719,0.06443
32,0.0529,0.0529,0.0589,0.08053
33,0.147,0.179,0.1036,0.1036
34,0.3534,0.3796,0.2857,0.2332
37,0.06702,0.06702,0.05545,0.1081
38,0.06309,0.03112,0.05295,0.04814
39,0.03811,0.05569,0.06596,0.04328
41,0.02602,0.02648,0.03371,0.05999
42,0.07222,0.07222,0.03848,0.0383
45,0.1693,0.1708,0.08882,0.09426
46,0.1297,0.1297,0.3123,0.1458
48,0.09754,0.09754,1.0,0.07394
49,0.08576,0.07842,0.09516,0.09708
50,0.1559,0.1559,1.0,1.0
51,0.03799,0.02008,0.05974,0.06831
54,0.1539,0.1177,0.1254,0.09647
56,0.09645,0.09645,0.1143,0.1327
61,0.1102,0.1255,0.2299,0.2299
64,0.0162,0.0162,0.05262,0.02814
65,0.03591,0.03591,0.04023,0.1522
66,0.1654,0.1654,0.2029,0.2029
68,0.01276,0.01276,0.02176,0.01512
71,0.01199,0.01199,0.01007,0.05494
72,0.139,0.139,0.1705,0.1882
73,0.01588,0.01588,0.01635,0.01607
76,0.07423,0.07423,0.0362,0.0387
77,0.07307,0.07307,0.1342,0.1142
80,0.1167,0.09055,0.08391,0.09858
81,0.08391,0.04937,1.0,0.1972
82,0.1162,0.1162,0.152,0.1021
84,0.1057,0.1452,0.08774,0.07693
86,0.04612,0.05422,0.05761,0.04046
88,0.1891,0.1891,0.2157,0.2157
89,0.1604,0.2846,0.1361,0.1361
90,0.03171,0.03202,0.02237,0.04372
92,0.1851,0.1851,0.1499,0.223
97,0.09433,0.115,0.1101,0.1062
98,0.19,0.1848,0.2977,0.1716
102,0.1799,0.1799,0.266,0.3702
103,0.3164,0.3164,0.225,0.225
104,1.0,1.0,0.1752,0.1636
105,0.04388,0.04388,0.0655,0.0645
107,0.07067,0.0787,0.1146,0.1146
110,0.0338,0.03834,0.03651,0.008906
111,1.0,1.0,0.2622,0.2313
113,0.006078,0.004014,0.005971,0.005074
115,0.00807,0.00807,0.007071,0.01034
116,0.1223,0.1223,1.0,1.0
120,0.1222,0.1222,0.08448,0.09139
122,0.04973,0.04973,0.06769,0.01943
124,0.1053,0.1053,0.07279,0.07279
126,0.1167,0.1167,0.02641,0.02086
130,0.1229,0.09553,0.1196,0.08977
131,0.2108,0.2108,0.1278,0.1695
133,1.0,1.0,0.3578,0.3578
136,0.03621,0.03621,0.01089,0.03076
137,0.03851,0.03851,0.0743,0.08781
141,0.2149,0.2149,0.1589,0.1736
142,0.03707,0.0325,0.05202,0.04551
144,0.1215,0.1215,0.03924,0.03924
145,0.05206,0.02563,0.01962,0.02049
146,0.1011,0.1011,0.3326,0.3326
148,0.2781,0.2781,0.1572,0.1572
150,0.07658,0.09622,0.09687,0.1219
151,0.05178,0.05178,0.0569,0.0445
153,0.06733,0.048,0.02536,0.08895
155,0.02679,0.02679,0.02227,0.02835
156,0.1564,0.07736,0.1129,0.1188
157,0.3643,0.3643,0.2049,0.2252
159,0.07755,0.07641,0.03369,0.04534
161,0.01605,0.01605,0.02012,0.0141
163,0.01727,0.01791,0.01888,0.04351
164,0.2127,0.2127,0.2474,0.1905
165,0.03041,0.03041,0.009054,0.0143
166,0.2405,0.2405,0.2758,0.2143
168,0.009185,0.007069,0.003707,0.003794
169,0.1616,0.1863,0.2212,0.1975
170,0.03059,0.02002,0.03679,0.03041
