index,top1,top3,top5,top7,top10,top15,top20,top30,top40,top50
1,0.1262,0.1146,0.1137,0.1137,0.1124,0.1106,0.1106,0.1106,0.1106,0.1106
2,0.1127,0.1019,0.09641,0.09623,0.092,0.09065,0.09065,0.09065,0.09065,0.09065
3,0.06954,0.06952,0.06952,0.06952,0.06952,0.06952,0.06507,0.05918,0.05918,0.05918
4,0.01894,0.01775,0.01775,0.01775,0.01775,0.01303,0.01303,0.01001,0.01001,0.01001
5,0.09378,0.07443,0.07109,0.06187,0.06187,0.06187,0.06003,0.05986,0.05986,0.058
7,0.01432,0.0142,0.0142,0.0142,0.0142,0.0142,0.0142,0.0142,0.0142,0.0142
8,0.05054,0.04817,0.03933,0.03933,0.03933,0.03933,0.037,0.037,0.03672,0.03623
9,0.01531,0.01444,0.01281,0.01122,0.01122,0.01096,0.01095,0.009176,0.008871,0.008871
10,0.1061,0.09816,0.08417,0.08417,0.08417,0.07863,0.07863,0.07627,0.07627,0.07627
11,0.05561,0.05561,0.05509,0.04319,0.03915,0.03915,0.03872,0.03872,0.03872,0.03872
13,0.1461,0.1315,0.1315,0.1238,0.1238,0.1238,0.1238,0.1238,0.1238,0.1238
14,0.2426,0.171,0.1639,0.1217,0.1217,0.1066,0.1066,0.1066,0.1066,0.1066
15,0.01047,0.009824,0.009563,0.009563,0.00948,0.00948,0.00948,0.009118,0.009021,0.009021
16,0.02371,0.02201,0.02201,0.0201,0.0201,0.01908,0.01851,0.01851,0.01851,0.01851
18,0.3095,0.2929,0.2706,0.2706,0.2385,0.2206,0.1994,0.1847,0.1847,0.1719
19,0.04837,0.04837,0.04837,0.04837,0.04341,0.04341,0.03949,0.03949,0.0333,0.03041
21,0.2206,0.2163,0.2163,0.2163,0.2163,0.2163,0.2163,0.1964,0.188,0.1594
22,0.02333,0.02333,0.02006,0.01639,0.01639,0.01639,0.01639,0.01639,0.01639,0.01639
23,0.02341,0.02341,0.02341,0.01832,0.01752,0.01451,0.01427,0.01255,0.01082,0.00953
25,0.008851,0.008669,0.003704,0.003704,0.003704,0.003704,0.003704,0.003559,0.002393,0.002292
28,0.3025,0.3025,0.2225,0.09993,0.09993,0.098,0.09421,0.09421,0.09211,0.09211
