index,top1,top3,top5,top7,top10,top15,top20,top30,top40,top50
0,0.04311,0.04311,0.0412,0.0412,0.03886,0.03809,0.03809,0.03809,0.03809,0.03809
1,0.01391,0.01391,0.01391,0.01391,0.01391,0.01391,0.01391,0.01391,0.01391,0.01391
5,0.07283,0.07283,0.07138,0.07138,0.07138,0.07138,0.07138,0.07138,0.07138,0.07138
6,0.1206,0.1119,0.1108,0.1108,0.1073,0.1057,0.1042,0.103,0.1012,0.1012
7,0.1106,0.1093,0.1093,0.1093,0.1093,0.1093,0.1093,0.1093,0.1093,0.1093
9,0.1275,0.12,0.1194,0.1194,0.1194,0.1194,0.1194,0.1194,0.1191,0.1191
10,0.06234,0.06234,0.06234,0.06234,0.05948,0.05948,0.05764,0.05764,0.05524,0.05524
11,0.4842,0.06962,0.06607,0.06607,0.06607,0.06455,0.06455,0.06455,0.06428,0.06428
12,0.0009546,0.0009136,0.0008736,0.0008736,0.0008726,0.0008726,0.0008726,0.0008726,0.0008726,0.0008726
13,0.04702,0.04618,0.04618,0.04618,0.04618,0.04618,0.04618,0.04618,0.04618,0.04618
14,0.01292,0.01275,0.01014,0.009441,0.009181,0.008905,0.008905,0.008861,0.008757,0.008701
16,0.1538,0.1493,0.1493,0.1461,0.1461,0.1461,0.1442,0.1442,0.1442,0.1442
17,0.01052,0.0105,0.01035,0.01035,0.01035,0.01035,0.01035,0.01035,0.01035,0.01035
18,0.6946,0.548,0.543,0.543,0.543,0.5271,0.5271,0.4676,0.4283,0.4159
19,0.04053,0.04053,0.04024,0.04024,0.04014,0.04014,0.04002,0.04002,0.04002,0.04002
20,0.07666,0.07471,0.06716,0.06264,0.06264,0.06212,0.06212,0.06212,0.0618,0.0618
21,0.04232,0.04058,0.04058,0.03836,0.03798,0.03577,0.03444,0.03444,0.0331,0.03232
23,0.03354,0.03354,0.03354,0.03354,0.03354,0.03354,0.03354,0.03354,0.03148,0.03032
29,0.08654,0.08654,0.08589,0.08589,0.08589,0.08589,0.08589,0.08495,0.08495,0.08495
30,0.0332,0.03285,0.03285,0.03285,0.03285,0.03285,0.03285,0.03285,0.03285,0.03285
34,0.2286,0.2232,0.2189,0.2189,0.2189,0.2071,0.1908,0.1385,0.133,0.133
36,0.02894,0.02882,0.02882,0.02871,0.02871,0.02841,0.02417,0.02417,0.02208,0.02014
38,0.004632,0.004632,0.004161,0.004161,0.003775,0.003775,0.003742,0.003555,0.003486,0.003486
39,0.03707,0.03648,0.03648,0.03648,0.03632,0.03372,0.03372,0.03372,0.03372,0.03372
41,0.07639,0.07329,0.07329,0.07171,0.06851,0.06839,0.06515,0.06515,0.06515,0.06515
