index,success rate,importance l_inf,min l_inf,mean l_inf,max l_inf
1,1.0,0.01934,0.01857,0.03065,0.04564
3,1.0,0.03461,0.0329,0.04747,0.07872
5,1.0,0.01827,0.01689,0.02549,0.04129
6,1.0,0.1071,0.09187,0.1225,0.2014
7,1.0,0.07492,0.07477,0.1506,0.2333
8,1.0,0.009047,0.008505,0.01167,0.01777
10,1.0,0.04964,0.04935,0.07521,0.1204
11,1.0,0.04259,0.04213,0.07308,0.1398
12,1.0,0.01011,0.00886,0.01228,0.01848
16,1.0,0.08176,0.07856,0.1052,0.2486
21,1.0,0.002371,0.00156,0.002243,0.002987
23,1.0,0.1955,0.1212,0.2089,0.4621
27,1.0,0.05022,0.04587,0.09055,0.2164
28,1.0,0.1662,0.1007,0.1775,0.2714
29,1.0,0.07865,0.07487,0.1132,0.1873
30,1.0,0.07049,0.06769,0.0975,0.143
34,1.0,0.1744,0.1202,0.1579,0.2379
38,1.0,0.05321,0.04753,0.06519,0.1012
39,1.0,0.05773,0.05415,0.08667,0.1175
40,1.0,0.08387,0.07683,0.1048,0.1712
41,1.0,0.03271,0.03244,0.05298,0.08954
45,1.0,0.1986,0.1201,0.1794,0.2783
48,1.0,0.06001,0.05895,0.08593,0.1329
50,1.0,0.06256,0.03515,0.05656,0.08793
51,1.0,0.02829,0.02227,0.0336,0.05284
53,1.0,0.0245,0.02391,0.03776,0.05556
54,1.0,0.06983,0.06886,0.1274,0.2992
55,1.0,0.06987,0.06787,0.1111,0.207
56,1.0,0.05719,0.05549,0.07643,0.1124
60,1.0,0.04165,0.0414,0.06743,0.1034
61,1.0,0.1166,0.04164,0.08256,0.188
62,1.0,0.07086,0.06479,0.1238,0.2629
65,1.0,0.01558,0.01066,0.01704,0.02565
67,1.0,0.06285,0.05024,0.07424,0.1274
68,1.0,0.06786,0.06231,0.1029,0.1878
71,1.0,0.00863,0.008492,0.01455,0.02323
72,1.0,0.04494,0.04351,0.07346,0.1062
73,1.0,0.0943,0.07886,0.1055,0.1679
74,1.0,0.05368,0.04456,0.06144,0.1007
76,1.0,0.141,0.08962,0.1157,0.1849
79,1.0,0.1101,0.06467,0.125,0.2843
80,1.0,0.003341,0.002982,0.003946,0.006098
81,1.0,0.0284,0.02789,0.05361,0.09868
82,1.0,0.1185,0.1147,0.1659,0.2509
83,1.0,0.008857,0.00849,0.01494,0.02224
84,1.0,0.0009785,0.0008326,0.001183,0.002055
86,1.0,0.03224,0.01693,0.0343,0.06528
88,1.0,0.1389,0.1164,0.1597,0.2835
89,1.0,0.05466,0.04564,0.07034,0.1107
90,1.0,0.1379,0.1269,0.172,0.276
92,1.0,0.05806,0.05764,0.1105,0.2124
93,1.0,0.06887,0.06228,0.1039,0.186
94,1.0,0.0161,0.01376,0.02037,0.02977
97,1.0,0.01218,0.01157,0.02032,0.04128
98,1.0,0.02983,0.02621,0.06403,0.1888
99,1.0,0.1324,0.0988,0.158,0.403
102,1.0,0.1143,0.1105,0.2019,0.4259
103,1.0,0.1096,0.05328,0.1102,0.3507
104,1.0,0.05228,0.04808,0.07676,0.1221
105,0.843,0.2894,0.1968,0.3834,0.7983
107,1.0,0.04243,0.03948,0.0638,0.0981
109,1.0,0.05111,0.04201,0.07686,0.1631
111,1.0,0.0446,0.0411,0.0576,0.08009
113,1.0,0.005792,0.005494,0.007856,0.01092
116,1.0,0.1551,0.1265,0.1724,0.2554
118,1.0,0.0446,0.04343,0.07021,0.1332
121,1.0,0.01913,0.01305,0.01825,0.02318
122,1.0,0.03648,0.03462,0.0441,0.06501
123,1.0,0.009258,0.007222,0.01165,0.01894
124,1.0,0.04514,0.03629,0.05873,0.1131
126,1.0,0.02344,0.01788,0.02981,0.0455
130,1.0,0.05024,0.04084,0.06159,0.1151
131,1.0,0.1395,0.1351,0.198,0.3168
132,1.0,0.03481,0.03249,0.06037,0.09655
133,1.0,0.1302,0.1125,0.1923,0.3876
134,1.0,0.05684,0.05107,0.07665,0.1296
136,1.0,0.07551,0.07147,0.09863,0.161
137,1.0,0.1249,0.1198,0.2107,0.3429
138,1.0,0.02983,0.02634,0.03902,0.05031
140,1.0,0.02099,0.02048,0.03356,0.0529
141,0.9938,0.2658,0.2345,0.3195,0.4702
142,1.0,0.01581,0.01458,0.02476,0.04523
143,1.0,0.03536,0.02792,0.03751,0.0568
144,1.0,0.04582,0.04526,0.07359,0.144
152,1.0,0.01352,0.01189,0.01735,0.02365
153,1.0,0.02095,0.0186,0.02653,0.03781
155,1.0,0.0386,0.02989,0.04398,0.07262
157,1.0,0.05029,0.04553,0.07198,0.14
158,1.0,0.006288,0.005973,0.00849,0.01297
159,1.0,0.05241,0.04788,0.09392,0.1525
160,1.0,0.00707,0.004004,0.007007,0.01336
161,1.0,0.01887,0.01777,0.02794,0.04292
163,1.0,0.03686,0.03637,0.05862,0.09839
166,1.0,0.0519,0.04652,0.07963,0.149
170,1.0,0.05363,0.04643,0.0637,0.1082
172,1.0,0.04096,0.03959,0.06778,0.1123
174,1.0,0.05324,0.04316,0.05953,0.08552
175,1.0,0.0546,0.04359,0.07789,0.1639
176,1.0,0.02833,0.02657,0.04144,0.0732
177,1.0,0.007041,0.006988,0.01291,0.02146
