index,captum,captum_correction,gradcam,gradcam++
0,0.3746,0.3746,0.8441,1.0
1,0.3467,0.3712,1.0,0.7343
2,0.2384,0.2384,0.3013,0.4758
3,0.5415,0.5617,1.0,0.5264
4,0.3568,0.2396,1.0,1.0
5,0.2595,0.2758,0.2794,0.258
6,0.1705,0.2347,0.2406,0.2014
7,0.221,0.221,0.293,0.2736
8,0.01801,0.01832,0.04702,0.02706
9,0.1465,0.1465,0.4665,0.4259
10,0.4254,0.5424,1.0,1.0
11,0.2229,0.2229,0.629,0.2373
12,0.2515,0.2515,0.5838,0.2406
13,0.4645,0.3882,0.8557,1.0
14,0.3148,0.3147,0.3421,1.0
15,0.1572,0.1572,0.2461,0.2403
16,0.2972,0.2972,0.7061,0.3347
17,0.4164,0.4164,0.625,0.4923
18,0.07285,0.07285,0.1374,0.09384
19,0.361,0.361,1.0,0.3998
20,0.1411,0.1412,0.5738,0.2565
21,0.2769,0.2769,0.3577,0.2788
22,0.5992,0.5992,0.6702,0.559
23,0.3483,0.3483,0.3934,0.4353
24,0.1693,0.1693,0.36,0.3683
25,0.575,0.5753,0.5861,0.6733
26,0.2319,0.2319,0.237,1.0
27,0.3446,0.3446,0.6509,0.4612
28,0.5333,0.5044,1.0,0.8111
29,0.2787,0.2885,0.3157,0.5651
30,0.3413,0.3413,0.6865,0.4198
31,0.2423,0.2423,0.3054,0.2615
32,0.2698,0.2698,0.5519,0.5529
33,0.1613,0.1613,0.1908,0.2236
34,0.4645,0.4645,0.4828,0.7835
35,0.4566,0.4566,1.0,1.0
36,0.3293,0.3293,1.0,1.0
37,0.2946,0.2709,0.5467,0.3704
38,0.1384,0.1384,0.3368,0.2962
39,0.2573,0.2573,0.3487,1.0
40,0.2077,0.2073,0.2458,0.6315
41,0.348,0.3385,0.519,0.5181
42,0.3698,0.3698,0.3864,0.3541
43,0.383,0.3844,0.4735,0.4735
44,0.2028,0.2028,0.2807,0.4558
45,0.2392,0.212,0.4551,0.2169
46,0.2573,0.2482,0.2673,0.8101
47,0.3466,0.3466,0.4168,0.4347
48,0.2427,0.2427,0.9182,0.3317
49,0.2904,0.3206,1.0,1.0
50,0.3822,0.3822,0.3363,1.0
51,0.3121,0.3121,1.0,0.3434
52,0.3663,0.3574,0.3844,0.3651
53,0.2026,0.2026,0.2329,0.2467
54,0.3894,0.3894,1.0,1.0
55,0.4518,0.4518,0.4325,0.4343
56,0.3587,0.3587,1.0,0.6691
57,0.2737,0.2737,0.2546,0.2546
58,0.3028,0.3028,0.6583,0.4005
59,0.2257,0.2246,0.259,0.2513
60,0.3947,0.3947,1.0,0.4335
61,0.2441,0.2441,0.2476,0.2446
62,0.1433,0.1195,0.2057,0.1046
63,0.1994,0.1994,1.0,0.2849
64,0.5368,0.5368,0.668,0.7475
65,0.1193,0.1176,0.3431,0.2421
66,0.2918,0.2918,0.3052,0.5378
67,0.4406,0.4406,1.0,1.0
68,0.3767,0.3658,0.6197,0.5832
69,0.4314,0.4314,0.5093,0.7188
70,0.3852,0.3852,0.6673,0.4668
71,0.6802,0.6802,1.0,1.0
72,1.0,0.4705,1.0,1.0
73,0.2164,0.2164,0.5951,0.3978
74,0.2319,0.2419,0.5316,0.5693
75,0.4353,0.4353,0.4853,0.3844
76,0.247,0.247,0.3916,0.3046
77,0.3122,0.3122,0.6855,0.2955
78,0.1791,0.1791,0.4962,0.2683
79,0.4041,0.4041,0.4899,1.0
80,0.1845,0.1845,0.2104,0.2293
81,0.3871,0.3871,0.4787,0.4804
82,0.5452,0.5041,1.0,0.6861
83,0.215,0.215,1.0,0.2343
84,0.3566,0.4043,0.389,0.4001
85,0.3882,0.3882,1.0,0.4794
86,0.4021,0.4021,0.4958,0.4324
87,0.3159,0.3159,0.4335,0.4335
88,0.6039,0.6039,0.5318,0.4955
89,0.1866,0.1866,0.2954,0.7235
90,0.2608,0.2608,0.591,0.3045
91,0.5175,0.5175,0.7471,1.0
92,0.05462,0.05462,0.08934,0.1266
93,0.2546,0.2546,0.4258,0.4607
94,0.2137,0.2137,0.301,0.4444
95,0.2306,0.2306,0.4527,0.3195
96,0.1916,0.2004,0.1823,0.218
97,0.4042,0.4042,0.6282,0.4225
98,0.2625,0.2625,0.2921,0.3657
99,0.4505,0.4563,0.4463,0.3535
