index,top1,top3,top5,top7,top10,top15,top20,top30,top40,top50
0,0.3746,0.3725,0.3562,0.3562,0.3325,0.3325,0.3325,0.319,0.319,0.319
1,0.3467,0.3467,0.3448,0.3448,0.3448,0.3448,0.3448,0.3448,0.3448,0.3448
2,0.235,0.2336,0.2182,0.2182,0.2182,0.2182,0.2182,0.2182,0.2161,0.2157
3,0.5617,0.5415,0.5006,0.5006,0.5006,0.466,0.466,0.4522,0.4522,0.4522
4,0.2396,0.2396,0.2396,0.2396,0.2248,0.2182,0.2182,0.2182,0.2182,0.2182
5,0.2758,0.265,0.2633,0.2633,0.258,0.258,0.258,0.258,0.258,0.258
6,0.2241,0.2053,0.1705,0.1705,0.1705,0.1705,0.1661,0.1661,0.1661,0.1661
7,0.221,0.2145,0.2145,0.2087,0.2087,0.2028,0.2028,0.2028,0.2028,0.2028
8,0.01878,0.01801,0.01801,0.01801,0.01801,0.01801,0.01728,0.01728,0.01728,0.01728
9,0.1465,0.1465,0.1465,0.1465,0.1465,0.1465,0.1465,0.1465,0.1465,0.1465
10,0.4254,0.4254,0.4254,0.3966,0.3966,0.3966,0.3966,0.3966,0.3966,0.3966
11,0.2229,0.2229,0.2229,0.2229,0.2229,0.2229,0.2229,0.2222,0.2191,0.2191
12,0.2515,0.2143,0.2143,0.2052,0.2052,0.2052,0.2052,0.2052,0.2052,0.2052
13,0.3882,0.3741,0.3741,0.3741,0.3741,0.3741,0.3741,0.3589,0.3589,0.3589
14,0.3073,0.3072,0.3013,0.2937,0.2937,0.2937,0.2937,0.261,0.261,0.261
15,0.1556,0.1556,0.1556,0.1556,0.1556,0.1556,0.1556,0.1556,0.1556,0.1556
16,0.2704,0.2518,0.2518,0.2518,0.2487,0.2487,0.2487,0.2487,0.2487,0.2487
17,0.3678,0.3678,0.3678,0.3678,0.3678,0.3678,0.3671,0.3671,0.3671,0.3581
18,0.07285,0.07285,0.07285,0.07285,0.07285,0.07285,0.07285,0.06701,0.06701,0.06701
19,0.3686,0.2985,0.2985,0.254,0.212,0.212,0.2033,0.2033,0.2033,0.2033
20,0.1411,0.1405,0.1399,0.1399,0.1399,0.1388,0.127,0.1251,0.1251,0.1251
21,0.2769,0.2692,0.2625,0.26,0.26,0.2594,0.2594,0.2584,0.2584,0.2584
22,0.5992,0.3714,0.3714,0.3714,0.3243,0.3243,0.3243,0.3243,0.3243,0.3243
23,0.3506,0.3483,0.3302,0.3302,0.3302,0.3248,0.3248,0.3248,0.3248,0.3248
24,0.1693,0.1552,0.1552,0.1552,0.1552,0.1552,0.1552,0.1552,0.1552,0.1552
25,0.5753,0.5162,0.5162,0.5162,0.4695,0.4695,0.4219,0.4219,0.4219,0.404
26,0.2319,0.2218,0.2218,0.2092,0.2092,0.2082,0.2082,0.2055,0.2055,0.2055
27,0.5718,0.3446,0.3446,0.3446,0.3446,0.2725,0.2725,0.2725,0.2725,0.2631
28,0.5044,0.5044,0.5036,0.5036,0.5036,0.4624,0.4529,0.4529,0.4485,0.4485
29,0.2885,0.2495,0.2495,0.2448,0.2354,0.2264,0.2248,0.2209,0.2209,0.2209
30,0.3413,0.3413,0.3413,0.3413,0.3413,0.3413,0.3413,0.3413,0.3413,0.3413
31,0.2998,0.2423,0.2252,0.2252,0.2252,0.2252,0.223,0.223,0.223,0.223
32,0.2698,0.2622,0.2622,0.2622,0.2622,0.2622,0.2622,0.2622,0.2622,0.2622
33,0.1613,0.1583,0.1583,0.1583,0.1583,0.1533,0.1533,0.1533,0.1533,0.1533
34,0.509,0.4645,0.4645,0.4485,0.4485,0.4485,0.4485,0.4295,0.4295,0.4295
35,0.4566,0.4566,0.4566,0.4566,0.4566,0.3638,0.3638,0.352,0.3346,0.3009
36,0.3293,0.3248,0.3248,0.3248,0.3248,0.3248,0.3247,0.3247,0.3247,0.3247
37,0.2923,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262
38,0.1375,0.1311,0.1311,0.1221,0.1221,0.1221,0.1221,0.1221,0.1221,0.1221
39,0.2573,0.2505,0.2505,0.2433,0.2386,0.2293,0.2261,0.2156,0.2151,0.2151
40,0.2077,0.2073,0.2073,0.2009,0.1916,0.1913,0.1913,0.1913,0.1913,0.1913
41,0.348,0.3385,0.3385,0.3385,0.3385,0.3374,0.3374,0.3374,0.3374,0.3374
42,0.3698,0.2429,0.2404,0.2404,0.2127,0.2089,0.2089,0.2089,0.2089,0.2089
43,0.3844,0.3026,0.3026,0.3026,0.3026,0.3026,0.3026,0.2916,0.2916,0.2916
44,0.2028,0.2028,0.2028,0.2028,0.2028,0.2028,0.2028,0.2028,0.2028,0.2028
45,0.212,0.212,0.212,0.212,0.212,0.1993,0.1993,0.1955,0.1955,0.1955
46,0.2482,0.2482,0.2482,0.247,0.247,0.247,0.247,0.247,0.2265,0.2249
47,0.3466,0.323,0.323,0.323,0.3114,0.3114,0.3114,0.3114,0.3114,0.3114
48,0.2427,0.2425,0.2425,0.2425,0.2261,0.2261,0.2197,0.2197,0.2184,0.2184
49,0.3206,0.2904,0.2706,0.2706,0.2706,0.2706,0.2706,0.2615,0.2615,0.2615
50,0.3822,0.3564,0.3451,0.3451,0.3451,0.3416,0.3416,0.2809,0.2809,0.2809
51,0.3121,0.3097,0.3097,0.3097,0.3067,0.3067,0.3067,0.3067,0.3067,0.3067
52,0.3574,0.3574,0.3574,0.3574,0.3565,0.3492,0.3492,0.3404,0.3375,0.3331
53,0.2026,0.2026,0.2026,0.2026,0.2026,0.2026,0.2026,0.2026,0.2026,0.2026
54,0.3894,0.3771,0.3687,0.3607,0.3607,0.3607,0.3607,0.3545,0.3545,0.3545
55,0.4518,0.4518,0.4518,0.4518,0.4518,0.4055,0.4055,0.4055,0.4018,0.3789
56,0.3587,0.3587,0.3587,0.3587,0.3587,0.3376,0.3376,0.3376,0.3376,0.3376
57,0.2791,0.258,0.258,0.258,0.2495,0.2495,0.2495,0.249,0.2434,0.2434
58,0.3028,0.301,0.301,0.301,0.301,0.2992,0.2992,0.2992,0.299,0.299
59,0.2399,0.2385,0.2201,0.2201,0.2201,0.2201,0.2201,0.1995,0.1995,0.1995
60,0.3947,0.3651,0.3651,0.3651,0.362,0.353,0.353,0.353,0.353,0.353
61,0.2441,0.2316,0.2283,0.2253,0.2253,0.2218,0.2216,0.2216,0.2216,0.2216
62,0.1433,0.1195,0.118,0.118,0.118,0.1134,0.1018,0.09282,0.09282,0.09282
63,0.1994,0.1994,0.1994,0.1994,0.1994,0.1964,0.1964,0.1964,0.1964,0.1964
64,0.5368,0.4553,0.4266,0.4266,0.405,0.405,0.405,0.405,0.405,0.405
65,0.1193,0.1176,0.1176,0.102,0.09977,0.09977,0.09977,0.09791,0.09791,0.09791
66,0.2918,0.2721,0.2721,0.2721,0.2698,0.2698,0.2614,0.2614,0.2507,0.2483
67,0.4406,0.4406,0.402,0.402,0.402,0.402,0.402,0.402,0.3682,0.3657
68,0.3658,0.3658,0.3658,0.3658,0.3658,0.3658,0.3658,0.3658,0.3658,0.3658
69,0.4314,0.4314,0.4314,0.4314,0.4314,0.4314,0.4314,0.4314,0.4314,0.4314
70,0.3852,0.3789,0.3789,0.3789,0.3789,0.3789,0.3658,0.3658,0.3658,0.3658
71,0.6802,0.6802,0.6802,0.6778,0.6778,0.6778,0.6474,0.6474,0.6474,0.6474
72,1.0,1.0,0.4036,0.4036,0.3648,0.3648,0.3648,0.3501,0.3375,0.3375
73,0.2081,0.2069,0.2069,0.204,0.2015,0.1956,0.1952,0.1725,0.1663,0.1663
74,0.2731,0.2319,0.2293,0.2293,0.2293,0.2293,0.2293,0.2293,0.2293,0.2293
75,0.4353,0.4353,0.405,0.4015,0.3998,0.3642,0.3642,0.3642,0.3361,0.3361
76,0.247,0.247,0.247,0.247,0.247,0.247,0.2424,0.2424,0.2424,0.2424
77,0.3122,0.3049,0.3049,0.2885,0.2885,0.2841,0.2841,0.2769,0.2769,0.2769
78,0.1791,0.1791,0.1791,0.1791,0.1772,0.1772,0.1749,0.1678,0.1678,0.1678
79,0.4041,0.3902,0.3902,0.3902,0.3902,0.3902,0.3902,0.3902,0.389,0.3877
80,0.1845,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183
