index,captum,captum_correction
0,0.2806,0.2806
1,0.1461,0.1461
2,0.207,0.187
3,0.3842,0.4021
4,0.2277,0.2134
5,0.1968,0.1861
6,0.1027,0.1027
7,0.1672,0.1672
9,0.3088,0.3088
10,0.4396,0.4396
11,0.2799,0.2799
12,0.3217,0.3234
13,0.4248,0.4248
14,0.2283,0.2378
15,0.04161,0.04161
16,0.496,0.2816
17,0.2428,0.2428
18,0.1042,0.1042
19,0.2094,0.2094
20,0.3185,0.3092
21,0.3195,0.3195
22,0.4639,0.4639
23,0.2051,0.2102
24,0.1357,0.1357
25,0.6641,0.6641
26,0.1093,0.1093
27,0.188,0.188
28,0.4151,0.4151
29,0.2038,0.1881
30,0.4234,0.4159
31,0.07964,0.09468
32,0.4806,0.4806
33,0.06756,0.07579
34,0.2211,0.2198
35,0.4306,0.4306
36,0.1043,0.1043
37,0.1984,0.1984
39,0.2565,0.2565
40,0.157,0.1612
41,0.1678,0.1729
42,0.1781,0.1781
43,0.26,0.2444
44,0.2117,0.2117
45,0.09272,0.182
46,0.05347,0.04766
47,0.245,0.245
48,0.2093,0.2093
49,0.2586,0.3414
50,0.3567,0.3567
51,0.2975,0.2975
52,0.1313,0.1313
53,0.1119,0.1119
54,0.6769,0.6769
55,0.2603,0.2479
56,0.403,0.403
57,0.1804,0.1804
58,0.1949,0.1949
59,0.1891,0.1891
60,0.3099,0.3099
61,0.2703,0.2703
62,0.1621,0.1621
63,0.129,0.2437
64,0.1417,0.1417
65,0.04407,0.04407
66,0.2419,0.2024
67,0.3479,0.3841
68,0.5157,0.5157
69,0.4121,0.4121
70,0.3192,0.3192
71,0.5942,0.5942
72,0.4109,0.3594
73,0.1178,0.1178
74,0.1954,0.1954
75,0.1709,0.1709
76,0.3996,0.3996
77,0.06755,0.06566
78,0.2247,0.2305
79,0.3544,0.3544
81,0.344,0.344
82,0.6196,0.6196
83,0.0586,0.06023
84,0.2541,0.2541
85,0.2961,0.2961
86,0.2612,0.2612
87,0.3281,0.3281
88,0.4631,0.4631
89,0.2112,0.2052
90,0.4107,0.4107
91,0.6288,0.6288
92,0.05956,0.05956
93,0.4343,0.4343
94,0.2219,0.2115
95,0.21,0.2969
96,0.01416,0.01416
97,0.1215,0.1215
98,0.3849,0.3849
99,0.3987,0.4712
100,0.3169,0.3169
101,0.324,0.3893
102,0.1999,0.1999
