
index,top1,top3,top5,top7,top10,top15,top20,top30,top40,top50
0,0.2806,0.2778,0.2648,0.2648,0.2611,0.2482,0.2482,0.2482,0.2307,0.2258
1,0.1461,0.1394,0.1394,0.1394,0.1394,0.1394,0.1394,0.1394,0.1394,0.1394
2,0.187,0.1863,0.1863,0.1863,0.1863,0.1827,0.1827,0.1765,0.1754,0.1593
3,0.3842,0.3842,0.3842,0.3842,0.3842,0.3842,0.379,0.369,0.369,0.369
4,0.1961,0.1961,0.1708,0.1708,0.1496,0.1496,0.1496,0.1496,0.1496,0.1253
5,0.1968,0.1898,0.1898,0.1861,0.1861,0.1829,0.1829,0.1757,0.1754,0.1736
6,0.1027,0.1027,0.1027,0.1027,0.1027,0.1027,0.1027,0.1027,0.1027,0.1027
7,0.1672,0.1672,0.1612,0.1612,0.1503,0.1392,0.1392,0.1392,0.1392,0.1392
9,0.3088,0.2923,0.2923,0.2923,0.2863,0.2863,0.2358,0.2183,0.2183,0.215
10,0.4396,0.4396,0.4396,0.4192,0.3669,0.3669,0.3669,0.3669,0.3669,0.3491
11,0.2799,0.2799,0.279,0.279,0.279,0.279,0.2687,0.2687,0.2687,0.2687
12,0.3234,0.3198,0.317,0.317,0.2959,0.2959,0.2777,0.2777,0.2777,0.2777
13,0.4248,0.3735,0.3735,0.3735,0.3704,0.3218,0.3218,0.3198,0.3157,0.3157
14,0.2378,0.2283,0.2168,0.2168,0.2168,0.2168,0.2168,0.2168,0.2168,0.2168
15,0.04033,0.04033,0.04033,0.04033,0.04033,0.04033,0.04033,0.04033,0.04033,0.04033
16,0.2816,0.2816,0.2816,0.2816,0.2816,0.2816,0.2816,0.2682,0.2682,0.2682
17,0.2428,0.2428,0.2428,0.2428,0.2428,0.2428,0.2428,0.2428,0.2428,0.2428
18,0.1042,0.1014,0.1014,0.1014,0.1014,0.1014,0.1014,0.1014,0.1014,0.1014
19,0.2094,0.2094,0.2094,0.2094,0.1991,0.1991,0.1991,0.1991,0.1932,0.1932
20,0.3198,0.2855,0.2855,0.2855,0.2806,0.2429,0.2429,0.2429,0.2399,0.2399
21,0.3195,0.2951,0.2951,0.2842,0.2599,0.2599,0.2539,0.2326,0.2326,0.2326
22,0.4639,0.3531,0.3428,0.3428,0.3428,0.3281,0.3281,0.324,0.324,0.3231
23,0.2102,0.2051,0.2041,0.2041,0.2041,0.2041,0.2041,0.2041,0.2041,0.2041
24,0.1357,0.1354,0.1292,0.1292,0.127,0.127,0.127,0.127,0.127,0.127
25,0.6641,0.6641,0.6459,0.6436,0.6436,0.6216,0.6216,0.5784,0.5784,0.5784
26,0.1093,0.1038,0.1038,0.09632,0.09632,0.09632,0.09632,0.09301,0.09301,0.09301
27,0.188,0.188,0.188,0.188,0.1827,0.1827,0.1827,0.1827,0.1827,0.1827
28,0.4151,0.388,0.388,0.3742,0.3742,0.3706,0.3706,0.3224,0.3224,0.3224
29,0.1881,0.1797,0.1715,0.1715,0.1715,0.1711,0.1711,0.1711,0.1711,0.1711
30,0.4234,0.4159,0.4159,0.4159,0.4076,0.4076,0.4034,0.3494,0.3115,0.2927
31,0.08759,0.07341,0.07341,0.07341,0.07341,0.07341,0.07269,0.07269,0.07269,0.07269
32,0.4806,0.4444,0.4312,0.3973,0.3973,0.3973,0.3734,0.3143,0.2999,0.2999
33,0.07579,0.06997,0.06756,0.06705,0.06607,0.06337,0.05613,0.05552,0.0551,0.05473
34,0.2211,0.2198,0.2069,0.2069,0.2069,0.1712,0.1712,0.1561,0.1391,0.1391
35,0.4306,0.4295,0.3852,0.3708,0.3708,0.3708,0.2768,0.237,0.237,0.237
36,0.1043,0.1034,0.1034,0.1034,0.1034,0.1034,0.09999,0.09999,0.09999,0.09965
37,0.1984,0.1984,0.1984,0.1984,0.1969,0.1929,0.1929,0.1929,0.1929,0.1929
39,0.2565,0.2298,0.2248,0.2248,0.2248,0.2248,0.2248,0.2248,0.2248,0.2248
40,0.157,0.157,0.1516,0.1516,0.1516,0.1516,0.1513,0.1476,0.1463,0.1463
41,0.1729,0.167,0.167,0.167,0.167,0.1649,0.1649,0.1455,0.1455,0.1455
42,0.1781,0.1781,0.1781,0.1482,0.1482,0.1482,0.1482,0.1409,0.1409,0.1409
43,0.2444,0.2355,0.2283,0.2264,0.2175,0.2051,0.2051,0.2051,0.2051,0.2051
44,0.2117,0.201,0.1925,0.1925,0.1925,0.1818,0.1818,0.1818,0.1753,0.1742
45,0.09385,0.09272,0.09272,0.09272,0.09272,0.09272,0.09272,0.09272,0.09272,0.0924
46,0.05347,0.04766,0.04373,0.04026,0.04006,0.04,0.03995,0.03995,0.03995,0.03995
47,0.245,0.2425,0.2312,0.2312,0.2299,0.2299,0.2299,0.2299,0.2299,0.2299
48,0.2093,0.2093,0.2093,0.2075,0.2075,0.2049,0.2049,0.2049,0.2,0.2
49,0.3414,0.2586,0.2586,0.2586,0.2586,0.2586,0.2586,0.235,0.235,0.2222
