index,captum,captum_correction,gradcam,gradcam++
1,0.1476,0.1431,1.0,1.0
2,0.03885,0.04375,0.1783,0.1783
3,0.1313,0.1054,0.2476,0.2352
4,0.09624,0.09487,0.1795,0.4391
5,0.1086,0.1086,0.1361,1.0
6,0.05586,0.05586,0.04617,0.1674
7,0.02849,0.02739,0.06028,0.08492
8,0.003153,0.003135,0.007766,0.00911
9,0.01358,0.01276,0.02588,0.02588
10,0.1223,0.1311,0.1134,0.2684
11,0.3119,0.3119,1.0,1.0
13,0.4084,0.4084,0.6113,1.0
14,1.0,1.0,1.0,1.0
15,0.1818,0.1993,0.2042,1.0
16,0.09235,0.09235,0.1059,0.3188
17,0.1506,0.1396,0.1106,0.1123
18,0.04453,0.03022,0.1968,0.1968
19,0.1628,0.1628,0.6118,0.6118
20,0.1506,0.1724,0.1446,0.1431
21,0.1361,0.1361,1.0,1.0
23,0.3702,0.3702,1.0,1.0
25,0.04935,0.04926,0.05212,0.1121
26,0.2253,0.2253,0.07153,0.1012
27,0.2912,0.3316,0.1347,0.4411
28,0.3546,0.189,0.1715,1.0
29,0.1694,0.1694,0.3998,0.3998
30,0.1953,0.1989,1.0,0.2557
31,0.07252,0.07252,0.06707,0.09287
34,0.2787,0.2787,0.2495,1.0
35,0.03067,0.02855,0.04586,0.05729
37,0.03851,0.03734,0.0975,0.0975
38,0.2572,0.2488,1.0,1.0
39,0.0984,0.0984,0.1204,1.0
40,0.2055,0.2747,0.2098,1.0
41,0.1594,0.1594,0.1548,0.4059
42,0.1797,0.1797,0.1208,1.0
43,0.1415,0.1403,0.477,0.477
44,0.1528,0.1273,0.2731,0.3531
45,0.373,0.323,1.0,1.0
46,0.02612,0.02612,0.02645,0.1176
47,0.206,0.1431,0.132,0.2035
48,0.118,0.1082,0.1392,0.1383
49,0.07746,0.07986,0.3184,0.3184
50,0.1654,0.1654,0.3287,0.456
51,0.1365,0.1365,0.1617,0.2363
54,0.122,0.1163,1.0,1.0
55,0.0691,0.07099,0.4051,0.4051
56,0.1017,0.1037,0.1061,0.2628
57,0.01813,0.01777,0.03719,0.03878
60,0.2207,0.2442,0.2231,1.0
62,0.139,0.139,0.642,0.642
64,0.1218,0.1268,0.3358,1.0
65,0.04263,0.04476,0.05586,0.0613
66,0.0873,0.0873,0.1044,0.3086
67,0.2839,0.1975,0.2839,0.2577
68,0.03238,0.03291,0.05361,0.06783
69,0.04601,0.03798,0.03627,0.03614
70,0.04205,0.04205,0.05451,0.05924
71,0.09658,0.09243,0.1256,1.0
72,0.1374,0.1374,1.0,1.0
73,0.1745,0.177,1.0,1.0
74,0.0979,0.0979,0.06065,0.339
75,0.147,0.1599,0.1684,0.1895
76,0.0805,0.0805,0.3887,0.3887
78,0.02197,0.02197,0.08654,0.08654
79,0.1071,0.1044,0.6479,0.6479
80,0.2962,0.09761,0.2991,0.2991
81,0.1263,0.128,0.49,0.49
82,0.2901,0.2901,0.191,1.0
83,0.2209,0.2004,0.1344,0.1489
84,0.183,0.1585,0.2696,0.2238
86,0.1223,0.1223,0.1029,0.1631
87,0.01054,0.01095,0.01695,0.02524
88,0.1254,0.1382,0.4342,0.4342
89,0.1897,0.2009,1.0,1.0
90,0.09832,0.1187,1.0,1.0
92,0.3089,0.2462,1.0,1.0
93,0.2081,0.2081,0.2556,1.0
94,0.02338,0.02431,0.09085,0.1056
95,0.061,0.06059,0.3466,0.3466
96,0.1886,0.2036,1.0,1.0
98,0.6109,0.663,0.5488,1.0
99,0.3867,0.3867,0.3998,0.3911
100,0.05219,0.05337,0.02919,0.0375
101,0.05886,0.06287,0.06441,0.185
102,0.1098,0.1114,0.7298,0.7298
103,0.08167,0.08055,0.2114,0.2114
104,0.2788,0.2788,1.0,1.0
105,0.4021,0.3496,0.1543,1.0
106,0.02219,0.02219,0.01341,0.03006
107,0.1702,0.1723,1.0,1.0
108,0.1989,0.1502,0.2486,1.0
109,0.1851,0.1974,0.3031,0.481
110,0.06688,0.06411,0.08327,0.07498
111,1.0,1.0,0.1475,0.1877
113,0.07704,0.07704,0.08787,0.1312
114,0.08993,0.08931,0.123,1.0
115,0.1349,0.14,0.1247,0.159
116,0.1456,0.1456,0.1312,0.2928
117,0.09401,0.0843,0.08298,0.0807
