index,top1,top3,top5,top7,top10,top15,top20,top30,top40,top50
1,0.1366,0.1366,0.1326,0.1326,0.1326,0.1326,0.1326,0.1326,0.1326,0.1326
2,0.04044,0.03885,0.03885,0.03885,0.03817,0.03817,0.03817,0.03817,0.03454,0.03454
3,0.102,0.102,0.102,0.102,0.0966,0.0966,0.09372,0.09327,0.09327,0.09235
4,0.09596,0.09487,0.0937,0.0937,0.09321,0.09321,0.09212,0.09212,0.09212,0.09212
5,0.1089,0.1047,0.1047,0.1047,0.1047,0.1047,0.1047,0.1029,0.1029,0.1029
6,0.05586,0.05431,0.04954,0.04566,0.04408,0.04141,0.04141,0.03608,0.03608,0.03608
7,0.02814,0.0269,0.0269,0.02676,0.02676,0.02676,0.02676,0.02676,0.02676,0.02676
8,0.003153,0.002981,0.002981,0.002981,0.002933,0.002758,0.002746,0.002691,0.002677,0.002677
9,0.01359,0.01324,0.01324,0.01324,0.01208,0.01208,0.01208,0.01208,0.01208,0.01208
10,0.1318,0.1225,0.1168,0.1168,0.1164,0.111,0.1105,0.1105,0.1075,0.1025
11,0.3116,0.2559,0.25,0.25,0.2268,0.1967,0.189,0.189,0.1865,0.1865
13,0.408,0.408,0.408,0.4054,0.4054,0.3858,0.3858,0.3858,0.3858,0.3858
14,1.0,1.0,0.3986,0.3986,0.3986,0.3853,0.3642,0.3642,0.3384,0.2858
15,0.183,0.183,0.1446,0.1446,0.1446,0.1445,0.1431,0.1431,0.1364,0.1343
16,0.09232,0.09232,0.09232,0.08873,0.08873,0.08873,0.08873,0.08873,0.08873,0.08873
17,0.139,0.139,0.139,0.139,0.139,0.139,0.1306,0.1306,0.1232,0.1187
18,0.03022,0.02736,0.02736,0.02736,0.02736,0.02736,0.02603,0.02603,0.02603,0.02603
19,0.1628,0.1617,0.1617,0.1617,0.1617,0.1617,0.1617,0.1617,0.1617,0.1617
20,0.1515,0.1491,0.1491,0.1491,0.1132,0.1059,0.1058,0.1058,0.1058,0.1058
21,0.1029,0.1027,0.1027,0.1027,0.1027,0.1027,0.1027,0.1027,0.1027,0.1027
23,0.3789,0.3501,0.3111,0.3111,0.2289,0.2289,0.2289,0.2275,0.2185,0.1986
25,0.05,0.04935,0.04935,0.04864,0.04864,0.04864,0.04864,0.04864,0.04864,0.04793
26,0.1935,0.1774,0.1737,0.1599,0.1483,0.127,0.0914,0.0914,0.08314,0.08314
27,0.3517,0.1507,0.1507,0.1424,0.1424,0.1424,0.1401,0.1401,0.1401,0.1385
28,0.1688,0.1688,0.1688,0.1688,0.1688,0.1688,0.1688,0.1688,0.1688,0.1688
29,0.1689,0.1581,0.1581,0.1581,0.1581,0.1581,0.1581,0.1581,0.1581,0.1581
30,0.1487,0.1487,0.1487,0.1473,0.1473,0.1401,0.1401,0.1401,0.1371,0.1371
31,0.07252,0.07028,0.06989,0.06989,0.06989,0.06989,0.06981,0.06771,0.06707,0.06669
34,0.2771,0.2684,0.2684,0.2684,0.2615,0.2615,0.2615,0.2491,0.2491,0.2458
35,0.02714,0.02714,0.02714,0.02714,0.02714,0.02714,0.02714,0.02714,0.02714,0.02714
37,0.03484,0.03364,0.03364,0.03364,0.03364,0.03364,0.03364,0.03273,0.03273,0.03273
38,0.2445,0.2445,0.2445,0.2315,0.2291,0.2291,0.2281,0.2281,0.2281,0.2246
39,0.1039,0.09832,0.09832,0.09832,0.09832,0.09832,0.09832,0.09456,0.09456,0.09456
40,0.292,0.1998,0.1998,0.1998,0.1998,0.1998,0.1998,0.1932,0.1869,0.1738
41,0.1582,0.1582,0.1544,0.1544,0.1544,0.149,0.149,0.1487,0.147,0.1458
42,0.1957,0.1765,0.1765,0.1765,0.1724,0.1724,0.171,0.1639,0.1508,0.15
43,0.1445,0.1406,0.1373,0.1373,0.1342,0.1342,0.1342,0.1342,0.1342,0.1342
44,0.1354,0.13,0.1295,0.1198,0.1198,0.1198,0.1074,0.1074,0.1074,0.1074
45,0.3385,0.2439,0.2439,0.2439,0.2423,0.194,0.194,0.1629,0.1629,0.1629
46,0.02465,0.02465,0.02465,0.02465,0.02319,0.02319,0.02319,0.02212,0.02212,0.02212
47,0.1652,0.1652,0.1652,0.1593,0.1311,0.1311,0.1311,0.1122,0.1122,0.1122
48,0.1217,0.1174,0.1143,0.1057,0.1057,0.1057,0.1057,0.1057,0.1057,0.1057
49,0.08181,0.0797,0.0797,0.0797,0.07745,0.07745,0.07745,0.07745,0.07745,0.07745
50,0.1654,0.1654,0.13,0.13,0.1103,0.09711,0.09711,0.08641,0.08641,0.08641
51,0.1359,0.1291,0.1144,0.1144,0.1144,0.108,0.108,0.1058,0.1058,0.1058
54,0.1163,0.1153,0.1152,0.1152,0.1152,0.1114,0.1114,0.1099,0.1084,0.1084
55,0.07098,0.0691,0.0691,0.0691,0.0691,0.06853,0.06853,0.06769,0.06769,0.06555
56,0.1037,0.1017,0.09455,0.09455,0.09455,0.09051,0.0901,0.08706,0.08577,0.08577
57,0.01813,0.01779,0.01779,0.01733,0.01733,0.01733,0.01733,0.01733,0.01733,0.01733
60,0.2391,0.239,0.2209,0.2209,0.2209,0.2209,0.2209,0.2209,0.2209,0.2209
62,0.1391,0.1339,0.1339,0.1254,0.1254,0.1247,0.1247,0.1247,0.1247,0.1247
64,0.127,0.127,0.1236,0.1236,0.1221,0.1211,0.1211,0.1209,0.1203,0.1184
65,0.04279,0.04263,0.04125,0.04125,0.04049,0.03981,0.03978,0.03935,0.03935,0.03874
66,0.08707,0.08707,0.08559,0.06927,0.06927,0.06927,0.06803,0.06803,0.06803,0.06803
67,0.2099,0.1968,0.1955,0.1955,0.1917,0.1917,0.1917,0.1917,0.1917,0.1917
68,0.03238,0.03238,0.03238,0.03238,0.03238,0.03238,0.03238,0.03238,0.03238,0.03238
69,0.03755,0.03523,0.03523,0.03523,0.03523,0.03523,0.0344,0.03362,0.03362,0.03362
70,0.04361,0.04163,0.04163,0.04163,0.04163,0.04126,0.04087,0.04069,0.04069,0.04022
71,0.09252,0.09252,0.08917,0.08917,0.08917,0.08917,0.08917,0.08917,0.08607,0.08607
72,0.1282,0.1134,0.1134,0.1134,0.1134,0.1134,0.1121,0.1121,0.1099,0.1099
73,0.2044,0.2025,0.1977,0.1653,0.1653,0.1653,0.1588,0.1546,0.1546,0.1546
74,0.0979,0.08857,0.08857,0.08857,0.08378,0.08378,0.07919,0.07486,0.07486,0.07345
75,0.1538,0.1479,0.1479,0.1467,0.1367,0.1367,0.1367,0.1311,0.1311,0.1311
76,0.0805,0.0805,0.0789,0.0789,0.0789,0.0789,0.0789,0.0789,0.0789,0.07875
78,0.02197,0.02089,0.01987,0.01987,0.01882,0.01882,0.01882,0.01882,0.01882,0.01882
79,0.1023,0.1023,0.1023,0.1023,0.1023,0.1023,0.1023,0.1023,0.1023,0.1023
80,0.1023,0.0976,0.0976,0.0976,0.0976,0.0976,0.0976,0.0976,0.09683,0.09683
81,0.128,0.1257,0.1257,0.1257,0.1242,0.1238,0.1238,0.1238,0.1238,0.1238
82,0.2845,0.2845,0.2845,0.2668,0.2668,0.2564,0.242,0.242,0.2357,0.2249
83,0.1756,0.1756,0.1756,0.1756,0.1617,0.1562,0.1562,0.1454,0.1431,0.1342
84,0.1362,0.1344,0.1344,0.1344,0.1344,0.1344,0.1344,0.1344,0.1344,0.1344
86,0.1223,0.1103,0.1058,0.1058,0.1053,0.1019,0.1019,0.09999,0.09976,0.09976
87,0.01054,0.0103,0.0103,0.0103,0.0103,0.0103,0.0103,0.0103,0.0103,0.0103
