index,success rate,importance l_inf,min l_inf,mean l_inf,max l_inf
0,1.0,0.04311,0.03809,0.07932,0.2288
1,1.0,0.01391,0.0126,0.02307,0.03975
5,0.9504,0.07283,0.07138,0.1748,0.627
6,0.9711,0.1206,0.1012,0.2379,0.7563
7,0.7748,0.1106,0.1093,0.2472,0.6743
9,0.9938,0.2501,0.1191,0.2062,0.9268
10,1.0,0.06234,0.05369,0.09967,0.1933
11,1.0,0.4842,0.06279,0.1532,0.4842
12,1.0,0.0009546,0.0008726,0.00288,0.007316
13,0.9959,0.04702,0.04618,0.1576,0.6
14,1.0,0.01292,0.008534,0.01496,0.02464
16,0.9587,0.1538,0.1288,0.2411,0.7654
17,1.0,0.01052,0.01035,0.01988,0.04765
18,0.5062,0.8784,0.257,0.5254,0.8784
19,0.9876,0.04053,0.04002,0.1343,0.6659
20,0.9897,0.07666,0.05446,0.1537,0.5533
21,1.0,0.04232,0.03232,0.05907,0.1199
23,1.0,0.03354,0.02925,0.04966,0.08126
29,0.9421,0.08654,0.08448,0.1769,0.5443
30,1.0,0.0332,0.03285,0.09083,0.3574
34,0.9835,0.2286,0.06357,0.1623,0.5596
36,1.0,0.02894,0.01809,0.03557,0.08906
38,1.0,0.004632,0.002253,0.004494,0.007609
39,1.0,0.03372,0.03372,0.05027,0.09268
41,0.843,0.07329,0.06515,0.263,0.8311
43,1.0,0.051,0.04922,0.08053,0.1597
44,0.8616,0.1331,0.1132,0.2959,0.7967
45,0.9669,0.5167,0.1397,0.3159,0.7169
46,1.0,0.04228,0.01628,0.0313,0.04651
47,1.0,0.02224,0.01965,0.02916,0.04329
48,1.0,0.001127,0.001071,0.002099,0.004609
49,1.0,0.01694,0.0148,0.02937,0.06475
50,0.9401,0.1665,0.06694,0.1995,0.7184
53,1.0,0.02169,0.008895,0.01935,0.03142
54,0.9566,0.4525,0.1899,0.3391,0.6781
55,0.9525,0.1956,0.07537,0.183,0.5644
56,1.0,0.01188,0.007873,0.01664,0.03703
60,0.9979,0.05994,0.05608,0.154,0.5914
62,1.0,0.008631,0.008304,0.02147,0.05191
64,1.0,0.01776,0.01723,0.05883,0.1844
65,1.0,0.09051,0.03697,0.07769,0.1908
66,1.0,0.06668,0.06668,0.1726,0.6052
70,1.0,0.01863,0.01153,0.02151,0.04738
71,1.0,0.01132,0.01132,0.03295,0.08277
72,1.0,0.05544,0.04822,0.09083,0.2222
73,0.9483,0.1426,0.09499,0.2068,0.7061
76,0.9855,0.2322,0.1265,0.2343,0.6518
77,1.0,0.02563,0.02065,0.02865,0.04367
78,1.0,0.04005,0.03793,0.1089,0.2792
79,1.0,0.02438,0.01672,0.03636,0.1226
80,0.9979,0.04408,0.04408,0.1336,0.6698
81,1.0,0.1027,0.1027,0.1952,0.7668
82,0.9773,0.1075,0.1011,0.2232,0.7267
84,1.0,0.06197,0.02905,0.06717,0.2317
86,1.0,0.1303,0.08568,0.1325,0.2785
88,1.0,0.1372,0.1005,0.1567,0.3217
89,1.0,0.04874,0.03273,0.059,0.09918
90,1.0,0.08617,0.06689,0.09646,0.2007
92,0.9938,0.1959,0.1451,0.3294,0.7375
93,1.0,0.06099,0.05494,0.1514,0.6596
94,1.0,0.03608,0.03207,0.05867,0.1101
95,1.0,0.02062,0.0192,0.04008,0.08089
96,1.0,0.03487,0.03326,0.05542,0.1021
97,1.0,0.03055,0.03055,0.065,0.1179
99,0.9979,0.06127,0.05088,0.1156,0.7132
100,1.0,0.02347,0.02147,0.04088,0.07787
102,1.0,0.05219,0.04825,0.1502,0.5851
103,1.0,0.04888,0.008393,0.02753,0.09963
104,0.9979,0.0677,0.06464,0.1575,0.6317
105,0.9731,0.06874,0.05969,0.1411,0.6867
107,0.7231,0.1374,0.1015,0.2504,0.7328
111,1.0,0.1735,0.129,0.2363,0.6221
113,1.0,0.04549,0.01908,0.03319,0.05197
116,1.0,0.07684,0.07005,0.1262,0.2016
118,1.0,0.03304,0.0113,0.04161,0.2529
120,1.0,0.03791,0.03434,0.06922,0.1869
122,1.0,0.0373,0.0357,0.07646,0.1719
123,0.9711,0.4191,0.0704,0.1706,0.5366
126,1.0,0.07068,0.04336,0.1078,0.3184
130,1.0,0.02543,0.02405,0.03683,0.07873
131,1.0,0.01446,0.01446,0.02735,0.04987
133,0.9318,0.4665,0.159,0.2814,0.6282
134,0.9711,0.09015,0.08297,0.1858,0.6381
135,1.0,0.02147,0.01743,0.02307,0.0414
136,1.0,0.207,0.07013,0.1548,0.4407
137,0.7748,0.1176,0.1115,0.2972,0.7047
138,1.0,0.05382,0.04131,0.07825,0.2241
141,0.7107,0.3752,0.2142,0.4321,0.9843
142,1.0,0.02756,0.02756,0.07014,0.2675
144,1.0,0.1365,0.05286,0.1174,0.2856
146,0.9979,0.05151,0.05092,0.1338,0.5194
148,1.0,0.04522,0.04522,0.08877,0.2123
150,1.0,0.05518,0.03297,0.06541,0.119
154,1.0,0.1272,0.05196,0.144,0.3013
156,1.0,0.09019,0.02558,0.07348,0.1613
157,1.0,0.08784,0.03993,0.1229,0.282
158,1.0,0.006703,0.005028,0.008584,0.02722
159,1.0,0.01455,0.01455,0.03618,0.1352
160,0.9814,0.1612,0.06329,0.1783,0.6183
161,0.9566,0.07799,0.07167,0.2288,0.79
