index,top1,top3,top5,top7,top10,top15,top20,top30,top40,top50
1,0.01934,0.01934,0.01896,0.01896,0.01896,0.01881,0.01881,0.01857,0.01857,0.01857
3,0.03461,0.03461,0.03461,0.03461,0.03461,0.03444,0.03444,0.03303,0.03301,0.03301
5,0.01737,0.0171,0.0171,0.0171,0.01699,0.01689,0.01689,0.01689,0.01689,0.01689
6,0.1071,0.1071,0.1071,0.1071,0.1068,0.1051,0.1051,0.1008,0.1008,0.1008
7,0.07492,0.07492,0.07477,0.07477,0.07477,0.07477,0.07477,0.07477,0.07477,0.07477
8,0.009047,0.008791,0.008597,0.008597,0.008597,0.008597,0.008505,0.008505,0.008505,0.008505
10,0.05063,0.04964,0.04964,0.04935,0.04935,0.04935,0.04935,0.04935,0.04935,0.04935
11,0.04259,0.0422,0.04213,0.04213,0.04213,0.04213,0.04213,0.04213,0.04213,0.04213
12,0.01011,0.009655,0.00952,0.00952,0.00927,0.00927,0.00927,0.009109,0.009109,0.009109
16,0.08177,0.08177,0.08177,0.08177,0.08054,0.08054,0.08054,0.08054,0.07996,0.07996
21,0.00237,0.002303,0.002303,0.002303,0.002303,0.002273,0.002273,0.001708,0.001708,0.001633
23,0.2122,0.1957,0.1957,0.1907,0.1432,0.1432,0.1432,0.1213,0.1213,0.1213
27,0.05021,0.04898,0.04898,0.04898,0.04898,0.0471,0.0471,0.04587,0.04587,0.04587
28,0.1662,0.156,0.15,0.1382,0.1382,0.129,0.1062,0.1062,0.1023,0.1023
29,0.07871,0.07834,0.07834,0.07717,0.07648,0.07622,0.07531,0.07531,0.07531,0.07487
30,0.07488,0.07337,0.07049,0.07049,0.07049,0.07033,0.06746,0.06746,0.06746,0.06746
34,0.1509,0.1509,0.1489,0.1489,0.1489,0.1447,0.1399,0.1399,0.1355,0.1309
38,0.0532,0.05247,0.05247,0.05247,0.05237,0.05124,0.0492,0.04753,0.04753,0.04753
39,0.05489,0.05456,0.05456,0.05417,0.05415,0.05415,0.05415,0.05415,0.05415,0.05415
40,0.08386,0.08356,0.08192,0.08129,0.08129,0.08129,0.08129,0.08129,0.08129,0.08129
41,0.03271,0.03244,0.03244,0.03244,0.03244,0.03244,0.03244,0.03244,0.03244,0.03244
45,0.1986,0.193,0.148,0.148,0.148,0.1476,0.1467,0.1467,0.1433,0.1351
48,0.06001,0.06,0.05894,0.05894,0.05894,0.05894,0.05894,0.05894,0.05894,0.05894
50,0.06256,0.06256,0.06256,0.06256,0.04233,0.04233,0.03911,0.03647,0.03647,0.03515
51,0.02829,0.02829,0.02755,0.02555,0.02555,0.02555,0.02444,0.02444,0.02444,0.02434
53,0.02927,0.02797,0.02768,0.02541,0.02517,0.0245,0.02407,0.02391,0.02391,0.02391
54,0.06983,0.06983,0.06983,0.06886,0.06886,0.06886,0.06886,0.06886,0.06886,0.06886
55,0.06987,0.06822,0.06822,0.06822,0.06822,0.06822,0.06822,0.06822,0.06787,0.06787
56,0.05549,0.05549,0.05549,0.05549,0.05549,0.05549,0.05549,0.05549,0.05549,0.05549
60,0.04165,0.04165,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414
61,0.1143,0.1143,0.1143,0.1143,0.1088,0.06649,0.06035,0.06035,0.04385,0.04217
62,0.07086,0.06678,0.06592,0.06592,0.06592,0.06479,0.06479,0.06479,0.06479,0.06479
65,0.01558,0.01552,0.01552,0.01475,0.01446,0.01446,0.01446,0.01446,0.01446,0.01364
67,0.05818,0.05818,0.05762,0.05507,0.05507,0.054,0.05321,0.05093,0.05093,0.05093
68,0.06786,0.06357,0.06357,0.06357,0.06287,0.06287,0.06287,0.06287,0.06287,0.06287
71,0.009034,0.00863,0.00863,0.00863,0.00853,0.00853,0.00853,0.008493,0.008493,0.008493
72,0.04493,0.04455,0.04351,0.04351,0.04351,0.04351,0.04351,0.04351,0.04351,0.04351
73,0.0844,0.0844,0.08073,0.08073,0.08073,0.07951,0.07951,0.07886,0.07886,0.07886
74,0.05367,0.05108,0.05108,0.05108,0.05108,0.05094,0.04948,0.04827,0.04636,0.04531
76,0.141,0.1364,0.1364,0.1364,0.1364,0.1352,0.1352,0.1352,0.1342,0.09416
79,0.1101,0.09787,0.09787,0.09787,0.09607,0.09195,0.08851,0.08595,0.08595,0.08302
80,0.003674,0.003674,0.003199,0.003199,0.003199,0.003199,0.003199,0.003179,0.00299,0.00299
81,0.02789,0.02789,0.02789,0.02789,0.02789,0.02789,0.02789,0.02789,0.02789,0.02789
82,0.1191,0.1185,0.1172,0.1172,0.1147,0.1147,0.1147,0.1147,0.1147,0.1147
83,0.008857,0.008719,0.008719,0.008719,0.008648,0.00849,0.00849,0.00849,0.00849,0.00849
84,0.0009785,0.0009565,0.0009565,0.0009565,0.0009527,0.0009174,0.0009174,0.0008936,0.0008936,0.0008936
86,0.03224,0.03224,0.03195,0.0291,0.02724,0.02469,0.02376,0.01817,0.0181,0.01709
88,0.1389,0.1343,0.1329,0.1298,0.1284,0.1262,0.1252,0.1196,0.1196,0.1196
89,0.05466,0.04631,0.04631,0.04631,0.04614,0.04614,0.04614,0.04602,0.04602,0.04564
90,0.1378,0.1378,0.1378,0.1378,0.1352,0.1337,0.1337,0.1337,0.1337,0.1337
92,0.06045,0.05806,0.05764,0.05764,0.05764,0.05764,0.05764,0.05764,0.05764,0.05764
93,0.06881,0.06808,0.06805,0.06805,0.06793,0.06793,0.06793,0.06312,0.06228,0.06228
94,0.01487,0.01487,0.0145,0.0145,0.01419,0.01419,0.0141,0.01409,0.01376,0.01376
97,0.01218,0.01207,0.01192,0.0118,0.0118,0.01157,0.01157,0.01157,0.01157,0.01157
98,0.02983,0.02694,0.02694,0.02694,0.02694,0.02694,0.02694,0.02621,0.02621,0.02621
99,0.1324,0.1216,0.1216,0.1143,0.1143,0.1085,0.1085,0.1045,0.101,0.101
102,0.1141,0.1141,0.1105,0.1105,0.1105,0.1105,0.1105,0.1105,0.1105,0.1105
103,0.1128,0.1096,0.1096,0.1096,0.1096,0.1096,0.1096,0.1077,0.09936,0.07581
104,0.05228,0.05228,0.05109,0.05109,0.05109,0.05063,0.04967,0.04967,0.04967,0.04967
105,0.3212,0.2894,0.2894,0.2845,0.2845,0.271,0.271,0.271,0.2424,0.2424
107,0.04263,0.04088,0.04035,0.04035,0.04035,0.03981,0.03981,0.03948,0.03948,0.03948
