index,success rate,importance l_inf,min l_inf,mean l_inf,max l_inf
0,0.7716,0.3746,0.3177,0.4974,0.9619
1,0.8488,0.3467,0.3448,0.5394,0.8887
2,0.9784,0.235,0.2157,0.3759,0.8893
3,0.7809,0.5415,0.3953,0.6094,0.9474
4,0.8673,0.3568,0.1874,0.3885,0.9234
5,0.8765,0.2758,0.258,0.4343,0.9285
6,0.9506,0.2241,0.1602,0.3099,0.8038
7,0.9877,0.221,0.2028,0.3707,0.7903
8,1.0,0.01878,0.01728,0.04682,0.2895
9,0.9537,0.1465,0.1465,0.3331,0.7192
10,0.6759,0.4254,0.3966,0.5812,0.9239
11,0.9352,0.2229,0.2191,0.3754,0.8271
12,0.9722,0.2515,0.2052,0.3828,0.8141
13,0.7716,0.3882,0.3589,0.5698,0.9644
14,0.8951,0.3073,0.261,0.4829,0.9224
15,0.8457,0.1572,0.1556,0.3607,0.8711
16,0.9815,0.2704,0.2463,0.3978,0.7867
17,0.75,0.3678,0.3581,0.5221,0.9336
18,0.9877,0.07285,0.06162,0.1337,0.5655
19,0.8611,0.3686,0.2033,0.4277,0.9329
20,0.9815,0.1411,0.1251,0.3376,0.8622
21,0.8981,0.2769,0.2548,0.4087,0.8905
22,0.858,0.5992,0.3243,0.5074,0.8506
23,0.8056,0.3483,0.3205,0.4902,0.9357
24,0.963,0.1693,0.1552,0.3393,0.8477
25,0.7562,0.5753,0.404,0.6412,0.8998
26,0.9074,0.2319,0.2055,0.3721,0.8887
27,0.8056,0.5718,0.2523,0.485,0.9684
28,0.6605,0.5036,0.4485,0.6372,0.8916
29,0.9599,0.2885,0.2209,0.3813,0.9329
30,0.7346,0.3413,0.3413,0.5482,0.9452
31,0.9599,0.3178,0.223,0.373,0.9173
32,0.787,0.2698,0.2622,0.5211,0.965
33,0.9969,0.1613,0.1363,0.22,0.7497
34,0.7531,0.509,0.3701,0.5711,0.9291
35,0.713,0.4566,0.2942,0.5596,0.9321
36,0.821,0.3293,0.2606,0.4449,0.9164
37,0.9228,0.2923,0.262,0.4344,0.9601
38,0.9167,0.1375,0.1221,0.2707,0.7266
39,0.9167,0.2573,0.2151,0.4224,0.9085
40,0.966,0.2077,0.1913,0.3195,0.8453
41,0.8765,0.348,0.3033,0.485,0.9168
42,0.9475,0.3698,0.2089,0.4046,0.937
43,0.8117,0.3844,0.2916,0.4943,0.8388
44,0.8395,0.2028,0.2028,0.3909,0.9494
45,0.9105,0.2486,0.1917,0.3455,0.9179
46,0.9352,0.2482,0.2249,0.3932,0.9092
47,0.8549,0.323,0.2866,0.4743,0.8786
48,0.9105,0.2427,0.2184,0.3978,0.9182
49,0.7377,0.3206,0.2534,0.4674,0.958
50,0.8549,0.3822,0.2646,0.4369,0.9477
51,0.8302,0.3121,0.3067,0.5226,0.8505
52,0.7963,0.3574,0.3331,0.4836,0.9538
53,0.9012,0.2026,0.2026,0.3994,0.8242
54,0.7377,0.3894,0.3545,0.5436,0.9519
55,0.784,0.4518,0.3114,0.5046,0.9073
56,0.6358,0.5052,0.3327,0.5275,0.9136
57,0.9228,0.2791,0.2434,0.4155,0.9096
58,0.9414,0.3028,0.2973,0.465,0.9727
59,0.8302,0.2399,0.1986,0.3665,0.9912
60,0.8272,0.3947,0.333,0.5362,0.8898
61,0.9228,0.2441,0.2216,0.384,0.9187
62,0.9938,0.1433,0.09282,0.2222,0.6385
63,0.9012,0.1994,0.1964,0.4259,0.8673
64,0.7593,0.5368,0.337,0.5583,0.9186
65,0.966,0.1193,0.09791,0.2845,0.8861
66,0.9568,0.2918,0.2163,0.3674,0.8602
67,0.7469,0.4991,0.3071,0.5138,0.8745
68,0.6852,0.3767,0.3497,0.5245,0.9123
69,0.6667,0.4314,0.4314,0.5816,0.9382
70,0.7901,0.3852,0.3568,0.5281,0.9108
71,0.3765,0.6802,0.5676,0.7101,0.9212
72,0.6512,0.7325,0.2757,0.4936,0.8821
73,0.9691,0.2164,0.1663,0.2835,0.5951
74,0.9414,0.2731,0.2293,0.4048,0.9304
75,0.8642,0.4353,0.3247,0.5086,0.9505
76,0.8272,0.247,0.2424,0.4077,0.9288
77,0.8488,0.3122,0.2769,0.463,0.8498
78,0.9969,0.1791,0.1678,0.277,0.5548
79,0.8086,0.4041,0.3877,0.5531,0.9302
80,0.8457,0.1845,0.183,0.4485,0.967
81,0.8889,0.3871,0.285,0.4943,0.9197
82,0.463,0.5452,0.4505,0.666,0.9761
83,0.8457,0.215,0.2148,0.4285,0.9314
84,0.7253,0.4276,0.2985,0.5003,0.9794
85,0.858,0.3882,0.364,0.5225,0.926
86,0.7623,0.4021,0.3441,0.533,0.9711
87,0.8179,0.3159,0.2761,0.484,0.9194
88,0.6451,0.6039,0.4044,0.6021,0.8689
89,0.9599,0.1866,0.1827,0.3706,0.9361
90,0.7901,0.2608,0.2608,0.43,0.8976
91,0.6667,0.5175,0.3851,0.5824,0.9671
92,1.0,0.05462,0.05462,0.1534,0.3183
93,0.8179,0.2546,0.2546,0.444,0.8649
94,0.9475,0.2056,0.2056,0.4033,0.9378
95,0.8951,0.2306,0.2158,0.4132,0.9951
96,0.9846,0.1916,0.1749,0.2781,0.8733
97,0.8704,0.4042,0.2775,0.4892,0.9019
98,0.9414,0.2625,0.252,0.3826,0.8911
99,0.9167,0.4505,0.3069,0.4808,0.8914
