index,success rate,importance l_inf,min l_inf,mean l_inf,max l_inf
0,0.9506,0.2806,0.2193,0.4466,0.8093
1,1.0,0.1461,0.1394,0.2904,0.7276
2,1.0,0.187,0.1593,0.2615,0.526
3,0.9691,0.3842,0.369,0.5461,0.8421
4,1.0,0.1961,0.1177,0.2484,0.4761
5,1.0,0.1968,0.1736,0.2967,0.6453
6,1.0,0.1027,0.1027,0.1738,0.4584
7,1.0,0.1672,0.1392,0.2269,0.3633
9,0.9846,0.3088,0.215,0.3569,0.8138
10,0.7747,0.4396,0.3444,0.5559,0.8868
11,0.9969,0.2799,0.2687,0.4039,0.7797
12,0.9784,0.3234,0.2327,0.4223,0.7054
13,0.8148,0.4248,0.3141,0.5493,0.8532
14,0.9969,0.2378,0.2168,0.3684,0.769
15,1.0,0.04033,0.04033,0.08775,0.1715
16,0.9815,0.2816,0.2682,0.4771,0.8279
17,0.9444,0.2428,0.2428,0.4421,0.8799
18,1.0,0.1042,0.1014,0.2124,0.7843
19,0.9969,0.2094,0.1932,0.3835,0.7481
20,0.9722,0.3198,0.2335,0.3879,0.7796
21,0.9969,0.3195,0.2326,0.3652,0.7091
22,0.9722,0.4639,0.2847,0.4548,0.8891
23,0.966,0.2102,0.2026,0.3784,0.7776
24,0.9969,0.1357,0.127,0.2623,0.823
25,0.6173,0.6641,0.5589,0.7212,0.9227
26,1.0,0.1093,0.09205,0.2054,0.4155
27,1.0,0.188,0.1772,0.3567,0.7078
28,0.9753,0.4151,0.3224,0.543,0.8696
29,1.0,0.1881,0.1711,0.2884,0.5974
30,0.784,0.4234,0.2764,0.5446,0.9816
31,1.0,0.08759,0.07256,0.1288,0.306
32,0.821,0.4806,0.2791,0.5422,0.8807
33,1.0,0.07579,0.05085,0.08961,0.2173
34,1.0,0.2211,0.1365,0.3015,0.8539
35,0.9846,0.4306,0.237,0.4526,0.9071
36,1.0,0.1043,0.09965,0.2014,0.4216
37,1.0,0.1984,0.1903,0.3219,0.7025
39,1.0,0.2565,0.2248,0.3622,0.7527
40,1.0,0.157,0.1463,0.2285,0.4168
41,1.0,0.1729,0.1379,0.2726,0.6582
42,0.9938,0.1781,0.1367,0.312,0.728
43,0.9815,0.2444,0.2051,0.3615,0.8545
44,0.966,0.2117,0.166,0.4096,0.7881
45,1.0,0.09385,0.0924,0.1976,0.4299
46,1.0,0.05347,0.03995,0.06997,0.1859
47,0.929,0.245,0.2299,0.4011,0.9377
48,0.9691,0.2093,0.1982,0.3822,0.7884
49,0.9815,0.3414,0.1917,0.3999,0.7649
50,1.0,0.3567,0.3012,0.4679,0.8306
51,0.9012,0.2975,0.2128,0.4653,0.8536
52,1.0,0.1311,0.1311,0.2504,0.4718
53,1.0,0.1119,0.1088,0.2577,0.7049
54,0.929,0.6769,0.3418,0.5035,0.812
55,1.0,0.2559,0.2064,0.4232,0.8423
56,0.9012,0.403,0.2901,0.4955,0.8299
57,1.0,0.1792,0.1573,0.2562,0.4871
58,1.0,0.1949,0.1913,0.3866,0.8584
59,1.0,0.1891,0.1681,0.336,0.634
60,0.9383,0.3099,0.274,0.5093,0.8929
61,0.9969,0.2703,0.2064,0.3534,0.8345
62,1.0,0.1621,0.1004,0.1747,0.3582
63,1.0,0.129,0.1265,0.2554,0.4861
64,1.0,0.1417,0.07981,0.1892,0.6297
65,1.0,0.04415,0.04372,0.08992,0.1993
66,1.0,0.2419,0.1923,0.2786,0.5111
67,0.9475,0.3569,0.2359,0.4015,0.7524
68,0.7654,0.5157,0.305,0.5608,0.8712
69,0.9475,0.4121,0.3336,0.5583,0.8987
70,0.9043,0.3192,0.2811,0.5096,0.8672
71,0.5031,0.5942,0.4888,0.6433,0.9369
72,0.9846,0.3594,0.2048,0.4081,0.9103
73,1.0,0.1178,0.106,0.1983,0.474
74,1.0,0.1954,0.1838,0.3466,0.7964
75,0.9969,0.1709,0.1586,0.3859,0.8166
76,0.9414,0.3996,0.1961,0.4533,0.9276
77,1.0,0.06566,0.06215,0.1022,0.2306
78,1.0,0.1842,0.1534,0.2654,0.6463
79,0.9167,0.3544,0.2462,0.5431,0.8751
81,1.0,0.344,0.2338,0.4105,0.7921
82,0.5154,0.6196,0.4703,0.6495,0.8699
83,1.0,0.06023,0.05735,0.1461,0.345
84,0.9722,0.2541,0.2371,0.4187,0.6667
85,0.9599,0.2961,0.2774,0.3975,0.811
86,0.9784,0.2612,0.2274,0.4909,0.8691
87,0.963,0.3281,0.3062,0.4833,0.9358
88,0.8611,0.4631,0.416,0.5705,0.8678
89,1.0,0.2052,0.1923,0.2882,0.5821
90,0.8611,0.4107,0.2628,0.4989,0.8058
91,0.9537,0.6288,0.3741,0.5664,0.8667
92,1.0,0.08296,0.05862,0.1221,0.361
93,0.8148,0.4343,0.2898,0.5297,0.9005
94,0.9969,0.2115,0.2007,0.3355,0.6238
95,1.0,0.21,0.1904,0.3203,0.7189
96,1.0,0.0125,0.01218,0.02581,0.05592
97,1.0,0.1215,0.06356,0.1168,0.2588
98,0.9969,0.3849,0.1371,0.3165,0.6536
99,0.9753,0.4712,0.3706,0.5443,0.8434
100,0.963,0.3169,0.2691,0.4253,0.8298
101,0.8364,0.3893,0.302,0.5521,0.9159
102,0.9907,0.1999,0.195,0.3696,0.7326
