index,captum,captum_correction,gradcam,gradcam++
0,0.5369,1.0,1.0,1.0
1,0.0002575,0.0003405,0.002402,0.002402
2,0.02151,0.07833,1.0,1.0
4,0.1148,0.2374,1.0,1.0
5,0.554,0.3661,1.0,1.0
7,0.1764,0.1641,1.0,1.0
8,0.2834,0.4751,1.0,1.0
11,1.0,1.0,1.0,1.0
13,0.3039,0.2427,1.0,1.0
14,0.1582,0.1624,1.0,1.0
16,0.2192,0.202,1.0,1.0
17,0.1441,0.174,1.0,1.0
18,0.5404,1.0,1.0,1.0
19,0.5535,0.4259,1.0,1.0
20,0.1309,0.1367,1.0,1.0
23,0.1119,0.1598,1.0,1.0
24,0.1597,0.4648,1.0,1.0
25,0.4659,0.4108,1.0,1.0
26,0.1485,0.1878,1.0,1.0
27,0.1367,0.09462,1.0,1.0
28,0.456,0.4962,1.0,1.0
30,0.1408,0.2098,1.0,1.0
31,1.0,1.0,1.0,1.0
34,0.1718,1.0,1.0,1.0
36,0.1233,0.1425,1.0,1.0
37,0.05047,0.1061,1.0,1.0
38,0.07803,0.06017,1.0,1.0
40,0.2333,0.22,1.0,1.0
42,0.5453,0.3973,1.0,1.0
43,0.4199,0.4933,1.0,1.0
44,0.09089,0.1216,1.0,1.0
45,0.1332,0.154,1.0,1.0
46,1.0,1.0,1.0,1.0
47,0.397,0.1008,1.0,1.0
48,0.1593,0.1696,1.0,1.0
49,1.0,1.0,1.0,1.0
50,0.001409,0.0008869,0.006537,0.006537
52,1.0,0.321,1.0,1.0
53,0.3905,0.2974,1.0,1.0
54,0.08474,0.2105,1.0,1.0
55,0.1089,0.1767,1.0,1.0
56,0.04586,0.0878,0.313,0.313
57,0.2339,0.1434,1.0,1.0
58,1.0,0.4552,1.0,1.0
60,0.1816,0.2062,1.0,1.0
62,0.2953,1.0,1.0,1.0
63,0.02227,0.02065,1.0,1.0
64,0.6529,1.0,1.0,1.0
65,1.0,1.0,1.0,1.0
67,0.214,0.2501,1.0,1.0
68,0.1913,0.3996,1.0,1.0
69,0.08983,0.3898,1.0,1.0
70,0.2998,0.4848,1.0,1.0
71,0.02194,0.02231,0.2072,0.2072
72,0.252,1.0,1.0,1.0
74,1.0,1.0,1.0,1.0
75,0.2147,0.229,1.0,1.0
77,0.0424,0.04345,1.0,1.0
79,0.01691,0.04317,0.2174,0.2174
82,0.2112,0.2792,1.0,1.0
83,0.124,0.1219,1.0,1.0
84,1.0,1.0,1.0,1.0
85,0.2784,0.2406,1.0,1.0
86,0.02284,0.05903,1.0,1.0
87,0.1008,0.09371,1.0,1.0
90,0.09375,0.0819,1.0,1.0
91,1.0,1.0,1.0,1.0
92,0.315,0.315,1.0,1.0
94,0.1597,0.2338,1.0,1.0
95,0.1712,0.1202,1.0,1.0
96,0.1271,0.135,1.0,1.0
98,0.1444,0.1857,1.0,1.0
99,0.0003414,0.0003266,0.004613,0.004613
100,0.1733,0.3407,1.0,1.0
102,0.4556,0.2467,1.0,1.0
103,0.2188,0.3223,1.0,1.0
104,0.3611,0.4153,1.0,1.0
105,0.08906,1.0,1.0,1.0
106,0.0562,0.05596,0.3165,0.3165
107,1.0,0.429,1.0,1.0
108,0.09395,0.08546,1.0,1.0
109,0.2982,0.2861,1.0,1.0
110,0.008066,0.01537,1.0,1.0
111,0.2201,0.2847,1.0,1.0
112,0.009998,0.009964,0.113,0.113
115,0.4474,1.0,1.0,1.0
117,0.03915,0.1982,0.2032,0.2032
118,0.5633,0.1477,1.0,1.0
119,0.2495,0.2171,1.0,1.0
120,0.001695,0.00321,0.008485,0.008485
121,0.1254,0.05188,0.1198,0.1198
122,0.2601,0.1783,1.0,1.0
123,0.1107,0.1496,1.0,1.0
124,1.0,1.0,1.0,1.0
125,0.03772,0.03572,0.2482,0.2482
129,0.1385,0.1326,1.0,1.0
130,1.0,1.0,1.0,1.0
133,0.1161,1.0,1.0,1.0
135,0.0966,0.109,1.0,1.0
136,0.5622,0.285,1.0,1.0
